id,meanWi_before1970,meanSu_before1970,meanWi_after1990,meanSu_after1990,lat,long,elev
2883,24.23033708,9.123220974,26.55,NA,-32.2,148.57,275
2884,22.11111111,8.638888889,25.9,10.1,-33.83,148.63,294
2885,18.53557692,5.57414966,18.3,5.916666667,-33.45,149.18,963
2886,23.44501916,9.034939759,24.85,NA,-31.27,149.27,510
2887,19.74534884,6.206349206,20.10714286,7.047777778,-33.43,149.57,713
2888,22.35454545,8.457051282,22.575,8.9,-32.58,149.58,454
2889,25.33541667,11.11458333,27.45,NA,-30.33,149.75,212
2890,17.36190476,5.853846154,18.09166667,6.383333333,-34.4,149.82,845
2891,23.82711864,11.08187135,26.3,12.4,-32.48,150.9,90
2893,25.08176101,10.08012821,24.83333333,10.8,-30.98,150.25,306
2895,18.26,7.225,18.45,7.75,-34.48,150.4,690
2897,22.59766667,9.376530612,22.00833333,9.233333333,-31.77,150.83,467
2898,21.6,NA,22.79166667,12.26666667,-33.92,150.98,8
2899,22.39404762,13.14404762,23.23974359,13.84666667,-33.95,151.18,3
2900,22.33409091,13.27164751,22.625,13.75,-33.85,151.2,40
2901,20.0002008,7.186666667,20.60833333,7.733333333,-30.52,151.65,980
2902,21.8258427,12.98464419,23.9,NA,-32.92,151.78,33
2903,22.2,NA,23.43333333,13.6,-32.92,151.75,8
2904,21.98095238,12.22166667,22.90769231,12.744,-32.78,151.82,8
2905,19.66871345,7.478395062,20.20833333,7.6,-29.73,151.73,1062
2906,23.09308176,13.17830189,23.78166667,13.70740741,-31.9,152.48,6
2907,21.44722222,12.89689266,22.235,13.69666667,-31.43,152.92,10
2908,22.84583333,15.59375,23.53333333,16.11666667,-30.92,153.08,114
2909,21.87941176,12.92291667,22.86266667,14.056,-30.32,153.12,5
2910,18.97037037,11.84074074,18.88782051,12.13333333,-34.95,117.8,68
2911,18.13125,13.23541667,18.85833333,13.88333333,-35.33,136.12,37
2912,18.04242424,12.03863636,18.43095238,12.09487179,-35.75,136.58,144
2913,18.67348485,9.155681818,18.88333333,9.966666667,-35.07,138.85,325
2914,18.68549383,11.72948718,19.25,12.85,-35.65,137.63,20
2917,20.66,10.54871795,20.24166667,11.11666667,-36.08,140.35,31
2919,18.0525641,9.852777778,17.95,10.21666667,-37.55,140.42,64
2920,16.71488095,8.88452381,18.3025641,9.954,-37.73,140.78,69
2921,17.67777778,11.8,17.99166667,12.33333333,-35.83,138.13,59
2922,18.53076923,9.664102564,18.2,10,-37.6,141.42,73
2923,16.67435897,10.89358974,17.50952381,11.3875,-38.43,141.55,47
2924,20.56763285,8.984541063,21.77666667,9.685185185,-36.33,141.63,133
2925,22.7109375,10.171875,22.81666667,10.75,-35.07,142.32,50
2926,16.3,8.7,19.075,8.916666667,-37.07,142.8,203
2927,18.1,9.433333333,21.19166667,9.333333333,-36.27,142.4,113
2929,22.82404762,9.778809524,22.66666667,10.36666667,-35.35,143.57,73
2930,22.47526882,9.442204301,22.25833333,10.1,-35.73,143.92,78
2931,19.56202186,7.83591954,19.36666667,8.366666667,-37.05,143.73,249
2933,17.07240437,10.02833333,17.35,10.74166667,-38.5,144.88,79
2934,21.65075758,8.70254902,21.425,9.333333333,-36.15,144.75,97
2935,22.77881944,8.327083333,22.49166667,8.9,-36,146.35,143
2937,18.77948718,9.644,19.68933333,10.31449275,-37.85,144.73,21
2938,19.92814815,10.61666667,19.33333333,11.28333333,-37.82,144.97,113
2939,22.54242424,8.978682171,22.725,9.516666667,-35.55,144.93,93
2941,16.7308642,5.283333333,15.725,4.633333333,-37.33,145.85,838
2942,21.45454545,7.90390625,21.56666667,8.65,-36.55,145.98,170
2943,21.09939394,7.218787879,20.3,7.7,-35.32,148.07,333
2944,16.57281746,10.48109756,17.59097222,11.23913043,-39.12,146.42,97
2945,19.69761905,6.633333333,20.71666667,7.35,-36.23,148.15,337
2946,22.23,8.32,23.425,9.316666667,-36.1,147.02,184
